ORDER_ID|ORDER_DATE|CUSTOMER_ID|PRODUCT_CODE|QUANTITY|UNIT_PRICE|SALES_AMOUNT|CURRENCY|REGION
NS-100000|2026-08-09||PC-1003|1|187.96|187.96|USD|NA
NS-100001|2026-08-30||PC-1008|1|172.40|172.40|EUR|EMEA
NS-100002|2026-08-02||PC-1001|5|111.25|556.25|USD|NA
NS-100003|2026-08-02||PC-1008|2|131.28|262.56|EUR|EMEA
NS-100004|2026-08-16||PC-1009|5|110.67|553.35|EUR|EMEA
NS-100005|2026-08-07||PC-1011|1|192.10|192.10|USD|APAC
NS-100006|2026-08-08||PC-1012|3|76.68|230.04|USD|LATAM
NS-100007|2026-08-05||PC-1005|1|32.25|32.25|USD|APAC
NS-100008|2026-08-03||PC-1011|5|73.48|367.40|USD|APAC
NS-100009|2026-08-31||PC-1006|5|39.95|199.75|USD|LATAM
NS-100010|2026-08-22||PC-1009|5|80.35|401.75|USD|NA
NS-100011|2026-08-04||PC-1000|5|56.14|280.70|USD|APAC
NS-100012|2026-08-29||PC-1003|3|246.44|739.32|EUR|EMEA
NS-100013|2026-08-22||PC-1013|4|76.70|306.80|USD|NA
NS-100014|2026-08-08||PC-1010|2|98.83|197.66|USD|APAC
NS-100015|2026-08-07||PC-1008|1|156.18|156.18|USD|APAC
NS-100016|2026-08-10||PC-1014|2|120.93|241.86|EUR|EMEA
NS-100017|2026-08-26||PC-1000|3|212.27|636.81|EUR|EMEA
NS-100018|2026-08-14||PC-1004|1|203.20|203.20|EUR|EMEA
NS-100019|2026-08-20||PC-1014|2|229.14|458.28|USD|NA
NS-100020|2026-08-14||PC-1014|2|167.30|334.60|USD|APAC
NS-100021|2026-08-09||PC-1011|2|73.56|147.12|USD|LATAM
NS-100022|2026-08-20||PC-1006|5|112.81|564.05|USD|APAC
NS-100023|2026-08-06||PC-1008|2|249.35|498.70|USD|APAC
NS-100024|2026-08-29||PC-1001|1|191.38|191.38|USD|LATAM
NS-100025|2026-08-15||PC-1009|2|200.09|400.18|EUR|EMEA
NS-100026|2026-08-16||PC-1008|4|101.58|406.32|USD|NA
NS-100027|2026-08-02||PC-1010|5|216.58|1082.90|USD|APAC
NS-100028|2026-08-26||PC-1010|5|190.20|951.00|USD|NA
NS-100029|2026-08-07||PC-1007|1|80.43|80.43|USD|APAC
NS-100030|2026-08-26||PC-1002|3|243.24|729.72|USD|NA
NS-100031|2026-08-18||PC-1009|3|211.99|635.97|USD|NA
NS-100032|2026-08-07||PC-1008|2|99.73|199.46|EUR|EMEA
NS-100033|2026-08-02||PC-1001|5|87.79|438.95|USD|NA
NS-100034|2026-08-09||PC-1014|3|67.46|202.38|USD|APAC
NS-100035|2026-08-28||PC-1001|1|185.65|185.65|USD|NA
NS-100036|2026-09-01||PC-1008|2|168.33|336.66|EUR|EMEA
NS-100037|2026-08-21||PC-1006|3|136.63|409.89|EUR|EMEA
NS-100038|2026-08-24||PC-1003|5|191.25|956.25|EUR|EMEA
NS-100039|2026-08-22||PC-1005|4|248.83|995.32|USD|APAC
NS-100040|2026-09-05|CUST-2040|PC-1003|5|118.35|591.75|USD|LATAM
NS-100041|2026-09-08|CUST-2041|PC-1003|3|15.04|45.12|USD|NA
NS-100042|2026-08-22|CUST-2042|PC-1000|1|27.03|-27.03|EUR|EMEA
NS-100043|2026-08-29|CUST-2043|PC-1005|1|227.29|-227.29|EUR|EMEA
NS-100044|2026-08-23|CUST-2044|PC-9002|5|67.11|335.55|USD|NA
NS-100045|2026-08-31|CUST-2045|PC-9003|5|41.74|208.70|EUR|EMEA
NS-100046|2026-08-27|CUST-2046|PC-9002|2|198.30|396.60|USD|LATAM
NS-100047|2026-08-15|CUST-2047|PC-9002|1|33.25|33.25|EUR|EMEA
NS-100048|2026-08-25|CUST-2048|PC-9001|4|122.08|488.32|USD|LATAM
NS-100049|2026-08-12|CUST-2049|PC-1012|1|106.62|106.62|USD|NA
NS-100049|2026-08-19|CUST-2050|PC-1007|2|55.97|111.94|USD|NA
NS-100051|2026-08-16|CUST-2051|PC-1003|4|54.03|216.12|EUR|EMEA
NS-100052|2026-08-29|CUST-2052|PC-1008|4|203.92|815.68|USD|NA
NS-100053|2026-08-19|CUST-2053|PC-1013|1|166.50|166.50|USD|NA
NS-100054|2026-08-29|CUST-2054|PC-1003|1|232.32|232.32|USD|NA
NS-100055|2026-08-08|CUST-2055|PC-1013|4|126.54|506.16|EUR|EMEA
NS-100056|2026-08-02|CUST-2056|PC-1006|1|49.50|49.50|USD|LATAM
NS-100057|2026-08-24|CUST-2057|PC-1011|4|78.45|313.80|USD|APAC
NS-100058|2026-08-08|CUST-2058|PC-1000|2|55.57|111.14|USD|LATAM
NS-100059|2026-08-20|CUST-2059|PC-1007|3|23.71|71.13|USD|NA
NS-100060|2026-08-04|CUST-2060|PC-1013|1|240.58|240.58|EUR|EMEA
NS-100061|2026-08-23|CUST-2061|PC-1013|1|152.80|152.80|EUR|EMEA
NS-100062|2026-08-30|CUST-2062|PC-1009|4|38.76|155.04|EUR|EMEA
NS-100063|2026-08-21|CUST-2063|PC-1001|5|152.67|763.35|EUR|EMEA
NS-100064|2026-08-12|CUST-2064|PC-1014|5|145.64|728.20|USD|LATAM
NS-100065|2026-08-12|CUST-2065|PC-1003|2|170.72|341.44|USD|APAC
NS-100066|2026-08-22|CUST-2066|PC-1004|4|41.40|165.60|USD|APAC
NS-100067|2026-08-31|CUST-2067|PC-1001|3|232.95|698.85|USD|LATAM
NS-100068|2026-08-20|CUST-2068|PC-1001|4|159.07|636.28|USD|NA
NS-100069|2026-08-10|CUST-2069|PC-1002|5|61.15|305.75|USD|NA
NS-100070|2026-08-13|CUST-2070|PC-1004|1|221.01|221.01|USD|APAC
NS-100071|2026-08-24|CUST-2071|PC-1004|4|210.09|840.36|EUR|EMEA
NS-100072|2026-08-23|CUST-2072|PC-1001|5|81.84|409.20|USD|NA
NS-100073|2026-08-05|CUST-2073|PC-1011|3|37.69|113.07|EUR|EMEA
NS-100074|2026-08-08|CUST-2074|PC-1011|3|77.61|232.83|EUR|EMEA
NS-100075|2026-08-29|CUST-2075|PC-1004|2|174.99|349.98|USD|APAC
NS-100076|2026-08-29|CUST-2076|PC-1000|3|227.27|681.81|USD|LATAM
NS-100077|2026-08-03|CUST-2077|PC-1000|4|209.03|836.12|USD|NA
NS-100078|2026-08-10|CUST-2078|PC-1002|2|162.90|325.80|USD|APAC
NS-100079|2026-08-19|CUST-2079|PC-1000|5|179.35|896.75|USD|LATAM
NS-100080|2026-08-24|CUST-2080|PC-1014|1|236.80|236.80|USD|NA
NS-100081|2026-08-13|CUST-2081|PC-1009|5|18.64|93.20|EUR|EMEA
NS-100082|2026-08-11|CUST-2082|PC-1005|4|40.58|162.32|EUR|EMEA
NS-100083|2026-08-09|CUST-2083|PC-1010|3|60.41|181.23|USD|NA
NS-100084|2026-08-30|CUST-2084|PC-1013|3|197.22|591.66|USD|NA
NS-100085|2026-08-31|CUST-2085|PC-1014|5|189.86|949.30|USD|LATAM
NS-100086|2026-08-27|CUST-2086|PC-1002|2|244.28|488.56|EUR|EMEA
NS-100087|2026-08-31|CUST-2087|PC-1005|1|53.04|53.04|USD|LATAM
NS-100088|2026-08-27|CUST-2088|PC-1011|2|74.02|148.04|USD|LATAM
NS-100089|2026-08-29|CUST-2089|PC-1007|4|219.31|877.24|USD|NA
NS-100090|2026-08-16|CUST-2090|PC-1005|2|205.97|411.94|EUR|EMEA
NS-100091|2026-08-23|CUST-2091|PC-1003|2|63.49|126.98|USD|APAC
NS-100092|2026-08-04|CUST-2092|PC-1012|3|76.85|230.55|USD|LATAM
NS-100093|2026-08-14|CUST-2093|PC-1010|3|163.95|491.85|USD|APAC
NS-100094|2026-08-10|CUST-2094|PC-1002|1|37.67|37.67|USD|APAC
NS-100095|2026-08-15|CUST-2095|PC-1005|1|36.01|36.01|USD|APAC
NS-100096|2026-08-18|CUST-2096|PC-1001|4|155.48|621.92|USD|APAC
NS-100097|2026-08-03|CUST-2097|PC-1011|5|55.61|278.05|USD|LATAM
NS-100098|2026-08-27|CUST-2098|PC-1008|1|134.77|134.77|USD|LATAM
NS-100099|2026-09-01|CUST-2099|PC-1010|3|113.50|340.50|EUR|EMEA
NS-100100|2026-08-29|CUST-2100|PC-1001|5|85.33|426.65|USD|APAC
NS-100101|2026-08-15|CUST-2101|PC-1005|5|84.22|421.10|USD|APAC
NS-100102|2026-08-08|CUST-2102|PC-1006|3|143.05|429.15|USD|LATAM
NS-100103|2026-08-11|CUST-2103|PC-1006|2|157.71|315.42|USD|LATAM
NS-100104|2026-08-15|CUST-2104|PC-1012|3|78.85|236.55|USD|NA
NS-100105|2026-08-23|CUST-2105|PC-1003|4|116.02|464.08|USD|APAC
NS-100106|2026-08-11|CUST-2106|PC-1008|2|168.11|336.22|USD|LATAM
NS-100107|2026-08-26|CUST-2107|PC-1003|1|206.41|206.41|USD|APAC
NS-100108|2026-08-06|CUST-2108|PC-1000|2|203.57|407.14|USD|APAC
NS-100109|2026-08-21|CUST-2109|PC-1013|2|246.13|492.26|USD|NA
NS-100110|2026-08-22|CUST-2110|PC-1009|4|109.46|437.84|USD|NA
NS-100111|2026-08-09|CUST-2111|PC-1002|4|128.64|514.56|EUR|EMEA
NS-100112|2026-08-09|CUST-2112|PC-1002|1|196.81|196.81|USD|NA
NS-100113|2026-08-31|CUST-2113|PC-1013|1|143.77|143.77|USD|LATAM
